	1B	1N	2B	2N	3B	3N	4B	4N	5B	5N	6B	6N	7B	7N	8B	8N	
isogroup106310_g1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup10635_g1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	
isogroup106385_g1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup106414_g1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup106445_g1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
isogroup106462_g1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup106499_g1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	3	2	
isogroup10653_g1	47	74	30	6	13	32	7	0	20	29	10	53	92	27	150	35	
isogroup10657_g1	1	0	0	0	0	0	0	0	0	0	0	2	3	0	13	1	
isogroup106634_g1	0	2	0	0	0	0	0	0	0	1	1	3	1	2	22	3	
isogroup10670_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
isogroup106765_g1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	
isogroup106768_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
isogroup106793_g1	0	1	0	0	1	6	1	0	10	10	1	3	3	1	17	4	
isogroup106812_g1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	
isogroup10687_g1	33	60	27	15	9	29	2	0	13	28	7	20	289	124	387	27	
isogroup106958_g1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	
isogroup106984_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	
isogroup106991_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup107176_g1	1	3	2	2	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup10717_g1	0	2	2	0	0	0	0	0	1	0	0	4	7	4	58	6	
isogroup10723_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
isogroup107377_g1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
isogroup10770_g1	0	0	1	0	0	0	0	0	0	0	1	1	2	0	5	0	
isogroup10772_g1	12	16	7	3	1	7	4	0	8	51	4	23	15	15	31	7	
isogroup10778_g1	6	0	2	0	0	0	0	0	0	0	0	1	3	1	6	0	
isogroup107798_g1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	6	1	
isogroup10779_g1	174	305	70	48	42	143	13	0	41	72	22	78	368	168	1141	111	
isogroup107817_g1	0	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	
isogroup10781_g1	2	2	0	2	1	4	0	0	1	1	0	1	4	1	16	5	
isogroup10786_g1	4	1	3	3	0	6	0	0	6	11	3	10	8	7	29	5	
isogroup1078_g1	4	1	2	0	0	1	1	0	3	1	0	1	1	0	4	3	
isogroup107919_g1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup10794_g1	4	1	0	0	0	2	0	0	0	3	1	1	2	1	6	1	
isogroup107992_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	1	
isogroup107993_g1	5	1	1	4	2	4	3	0	6	2	3	4	5	2	17	0	
isogroup108009_g1	31	47	28	11	4	13	1	0	3	13	2	37	47	41	92	31	
isogroup10807_g2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup10808_g1	3	3	0	1	1	6	0	0	1	2	1	8	5	0	28	2	
isogroup108094_g1	0	0	0	0	0	1	0	0	0	0	0	0	4	0	5	0	
isogroup10815_g1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	
isogroup10827_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
isogroup10836_g1	5	2	0	0	1	2	1	0	0	0	0	4	6	1	12	2	
isogroup10850_g1	5	5	2	2	2	0	0	0	3	4	0	7	16	7	37	7	
isogroup108532_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
isogroup1086_g1	3	3	0	0	2	2	0	0	0	1	1	1	7	1	8	1	
isogroup10873_g1	6	13	1	1	1	3	0	0	0	2	1	4	1	1	6	1	
isogroup10876_g1	5	1	4	0	0	3	0	0	0	1	1	3	8	0	11	8	
isogroup1087_g1	27	47	18	3	2	12	2	0	4	9	1	17	41	47	156	36	
isogroup10903_g1	1	1	2	1	2	4	0	0	1	2	0	2	5	3	9	1	
isogroup10906_g1	2	8	2	0	0	8	0	0	4	13	1	4	16	8	60	10	
isogroup10909_g1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	
